LarvaID,Sex,Surv_Eclose,Time_2nd,Mass_2nd,Time_Eclose,Mass_eclose,total_eggs
E4_L2,F,1,3,14.57,35,1554.3,175
D2_L1,F,1,3,14.03,35,1194.8,163
B9_L2,F,1,2,11.57,34,1456.7,301
C7_L2,F,1,3,8.73,34,1577.1,269
F9_L1,F,1,3,8.3,35,1581.1,278
B6_L2,F,1,3,7.88,34,1584.4,273
D2_L2,F,0,3,13.72,NA,NA,NA
H7_L2,F,1,3,8.42,33,1538.8,179
D5_L2,F,1,3,9.32,37,970.2,98
G12_L2,F,1,2,8.74,36,1346.5,246
B9_L1,F,1,2,12.41,35,1410.5,303
C1_L1,F,1,3,9.1,36,1592.1,289
B9_L3,F,1,2,12.19,36,1670.6,318
C4_L2,F,1,3,7.12,37,1698.4,285
F9_L4,F,1,3,6.18,36,1852.5,363
B6_L1,F,1,3,10.76,36,1935,297
H6_L2,F,1,3,8.66,36,2219.1,319
E4_L3,F,1,3,13.68,38,2295.3,279
C2_L2,F,1,3,7.3,35,1240.8,307
D11_L3,F,1,3,8.21,35,1242.2,20
C4_L4,F,1,4,12.93,36,1328.9,NA
H7_L4,F,1,3,7.34,36,1406.7,273
G5_L3,F,1,2,5.69,36,1495.9,250
H9_L2,F,1,4,8.99,35,1568.1,259
E2_L3,F,1,3,6.47,36,1663.7,310
F4_L1,F,1,3,6.78,36,1739.2,297
D11_L2,F,1,3,6,36,1758.8,223
F4_L4,F,1,3,7.4,35,1770.1,332
C1_L4,F,1,3,8.77,36,1846,391
C4_L3,F,1,3,7.38,38,2018.5,317
E3_L2,F,1,3,5.97,38,1467,NA
H1_L1,F,1,3,7.35,38,1848.9,297
B11_L1,F,1,2,6.81,38,1500.7,182
H7_L1,F,1,3,6.99,38,1852.2,353
C10_L2,F,1,3,9.65,37,1168.2,203
H1_L3,F,1,4,8.64,39,1194.4,NA
A8_L3,F,1,3,8.2,36,1606.6,NA
A4_L2,F,1,3,8.28,37,1934.2,241
D10_L1,F,0,3,9.64,NA,NA,NA
B1_L3,F,1,4,10.58,36,1180.3,300
A8_L4,F,1,3,6.85,40,1254.7,111
H9_L1,F,1,3,7.42,38,1460.4,NA
C8_L2,F,1,5,8.97,36,1463.5,232
A5_L3,F,1,4,13.07,36,1529.9,241
